id,topic,mc,sentence,suffix,prefix,url,
The American Bar Association brings more harm than good,American Bar Association,"In 1989 the ABA's House of Delegates adopted a resolution stating that ""the American Bar Association and each of its entities should use gender-neutral language in all documents establishing policy and procedure.""",q_strict,0.951,0,https://en.wikipedia.org/wiki/American_Bar_Association,
The American Bar Association brings more harm than good,American Bar Association,"However, the American Bar Association does not certify individual paralegals [REF].",q_mc,0.901,0,https://en.wikipedia.org/wiki/Certified_Paralegal,
The American Bar Association brings more harm than good,American Bar Association,"In response, the American Bar Association has proposed to amend FRE 404 to require that prior offenses be proven by a clear and convincing standard [REF].",q_mc,0.852,0,https://en.wikipedia.org/wiki/Huddleston_v._United_States,
The American Bar Association brings more harm than good,American Bar Association,"However, the American Bar Association has waived the requirement for law schools to use the LSAT as an admission requirement in select cases.",q_mc,0.852,0,https://en.wikipedia.org/wiki/Law_School_Admission_Test,
The American Bar Association brings more harm than good,American Bar Association,"In 1987, the implications of the decision were raised when the American Bar Association was considering a proposal to support extending the ban on tobacco advertising to all media, even though the act of smoking was legal [REF].",q_mc,0.841,0,https://en.wikipedia.org/wiki/Posadas_de_Puerto_Rico_Associates_v._Tourism_Co._of_Puerto_Rico,
The American Bar Association brings more harm than good,American Bar Association,"In America, the American Bar Association decides which law schools to approve and thereby which ones are deemed most respectable [REF].",q_cl,0.833,0,https://en.wikipedia.org/wiki/Lawyer,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association ""affirms the principle that dependence on alcohol or other drugs is a disease.""[REF] .",q_mc,0.817,0,https://en.wikipedia.org/wiki/Disease_theory_of_alcoholism,
The American Bar Association brings more harm than good,American Bar Association,Formal Opinion 90-357 of the American Bar Association provides four acceptable definitions of the term:[REF] .,q_cl,0.813,0,https://en.wikipedia.org/wiki/Of_counsel,
The American Bar Association brings more harm than good,American Bar Association,"In its criminal justice section, the American Bar Association has adopted the following standard regarding the need for a factual basis:[REF] .",q_cl,0.812,0,https://en.wikipedia.org/wiki/Factual_basis,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association's Taxation Section believes should be read not to require persons whose loss of citizenship occurred before the passage of the American Jobs Creation Act of 2004 to file the exit tax form (Form 8854), and has urged the issuance of Treasury regulations clarifying this interpretation [REF].",q_cl,0.807,0,https://en.wikipedia.org/wiki/Quarterly_Publication_of_Individuals_Who_Have_Chosen_to_Expatriate,
